0,nospec_no_specifier_test,1666103244,0
1,nospec_empty_string,1666103244,0
2,nospec_some_escaped_chars,1666103244,0
3,nospec_successive_5_5,1666103244,0
4,nospec_successive_2_9,1666103244,0
5,nospec_successive_8_3,1666103244,0
6,pct_basic,1666103244,0
7,pct_5w,0,1666103244
8,pct_5wlj,0,1666103244
9,pct_5wzp,0,1666103244
10,pct_5wljzp,0,1666103244
16,c_allprintable_combined,1666103244,0
17,c_1_31_combined,1666103244,0
18,c_128_255_combined,1666103244,0
19,c_allprintable_width,0,1666103244
20,c_1_31_width,0,1666103244
21,c_128_255_width,0,1666103244
22,c_allprintable_width_lj,0,1666103244
23,c_1_31_width_lj,0,1666103244
24,c_128_255_width_lj,0,1666103244
25,c_nullterm_basic,1666103244,0
26,c_nullterm_5w,0,1666103244
27,c_nullterm_5wlj,0,1666103244
28,s_basic_string_expansion,1666103244,0
29,s_only_string_expansion,1666103244,0
30,s_two_string_expansions,1666103244,0
31,s_two_string_expansions2,1666103244,0
32,s_empty_string_expansion,1666103244,0
33,s_full_then_empty_string,1666103244,0
34,s_empty_then_full_string,1666103244,0
35,s_three_strings,1666103244,0
36,s_space_padded_field_width,0,1666103244
37,s_space_padded_field_width2,0,1666103244
38,s_space_padded_over_field_width,0,1666103244
39,s_space_padded_field_width_lj,0,1666103244
40,s_space_padded_field_width2_lj,0,1666103244
41,s_space_padded_over_field_width_lj,0,1666103244
42,s_string_prec_notrunc,0,1666103244
43,s_string_prec_trunc,0,1666103244
44,s_string_prec_default,0,1666103244
45,s_string_prec_zero,0,1666103244
46,s_two_strings_prec_2trunc,0,1666103244
47,s_two_strings_prec_1trunc_a,0,1666103244
48,s_two_strings_prec_1trunc_b,0,1666103244
49,s_two_strings_prec_0trunc,0,1666103244
50,s_string_prec_width_notrunc,0,1666103244
51,s_string_prec_width_trunc,0,1666103244
52,s_string_prec_width_notrunc_lj,0,1666103244
53,s_string_prec_width_trunc_lj,0,1666103244
54,s_two_s_prec_width_2fit_0trunc,0,1666103244
55,s_two_s_prec_width_1fit_a_0trunc,0,1666103244
56,s_two_s_prec_width_1fit_b_0trunc,0,1666103244
57,s_two_s_prec_width_0fit_0trunc,0,1666103244
58,s_two_s_prec_width_2fit_1trunc_a,0,1666103244
59,s_two_s_prec_width_1fit_a_1trunc_a,0,1666103244
60,s_two_s_prec_width_1fit_b_1trunc_a,0,1666103244
61,s_two_s_prec_width_0fit_1trunc_a,0,1666103244
62,s_two_s_prec_width_2fit_1trunc_b,0,1666103244
63,s_two_s_prec_width_1fit_a_1trunc_b,0,1666103244
64,s_two_s_prec_width_1fit_b_1trunc_b,0,1666103244
65,s_two_s_prec_width_0fit_1trunc_b,0,1666103244
66,s_two_s_prec_width_2fit_2trunc,0,1666103244
67,s_two_s_prec_width_1fit_a_2trunc,0,1666103244
68,s_two_s_prec_width_1fit_b_2trunc,0,1666103244
69,s_two_s_prec_width_0fit_2trunc,0,1666103244
70,s_two_s_prec_width_2trunc,0,1666103244
71,s_two_strings_lj_and_rj,0,1666103244
72,s_two_strings_rj_and_lj,0,1666103244
73,s_null_basic_string_expansion,1666103244,0
74,s_null_only_string_expansion,1666103244,0
75,s_null_space_padded_field_width,0,1666103244
76,s_null_space_padded_over_field_width,0,1666103244
77,s_null_space_padded_field_width_lj,0,1666103244
78,s_null_space_padded_field_width2_lj,0,1666103244
79,s_null_space_padded_over_field_width_lj,0,1666103244
80,s_null_string_prec_notrunc,0,1666103244
81,s_null_string_prec_trunc,0,1666103244
82,s_null_string_prec_default,0,1666103244
83,s_null_string_prec_zero,0,1666103244
84,s_basic_s_hidden,1666103244,0
85,s_width_3_s_hidden,0,1666103244
86,s_width_9_s_hidden,0,1666103244
87,s_prec_no_width_s_hidden,0,1666103244
88,s_prec_9_no_width_s_hidden,0,1666103244
89,s_prec_03_no_width_s_hidden,0,1666103244
90,s_prec_09_no_width_s_hidden,0,1666103244
91,s_prec_03_no_width_s_null,0,1666103244
92,s_prec_09_no_width_s_null,0,1666103244
93,s_prec_00_no_width_s_nullchar,0,1666103244
94,s_prec_01_no_width_s_nullchar,0,1666103244
95,s_prec_03_no_width_s_nullchar,0,1666103244
96,s_prec_09_no_width_s_nullchar,0,1666103244
97,s_prec_0_width_3_s_hidden,0,1666103244
98,s_prec_0_width_10_s_hidden,0,1666103244
